
         540712248 function calls (540708138 primitive calls) in 379.315 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      355    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/managers.py:1588(_block)
      352    0.012    0.000    0.012    0.000 {built-in method _codecs.utf_8_decode}
      352    0.001    0.000    0.013    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/codecs.py:319(decode)
      352    0.000    0.000    0.000    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.7/lib/python3.7/codecs.py:331(getstate)
      352    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      343    0.003    0.000    0.227    0.001 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/internals/blocks.py:733(to_native_types)
      343    0.000    0.000    0.000    0.000 {built-in method pandas._libs.writers.word_len}
      339    0.000    0.000    0.000    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/arrays/datetimelike.py:810(freq)
      336    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
      335    0.001    0.000    0.008    0.000 /Users/ganesh/Library/Python/3.7/lib/python/site-packages/pandas/core/dtypes/common.py:605(is_excluded_dtype)
